State,ZipCode,TaxRegionName,CombinedRate
AK,99501,"ALASKA STATE",0
AK,99502,"ALASKA STATE",0
AK,99503,"ALASKA STATE",0
AK,99504,"ALASKA STATE",0
AK,99505,"ALASKA STATE",0
AK,99506,"ALASKA STATE",0
AK,99507,"ALASKA STATE",0
AK,99508,"ALASKA STATE",0
AK,99509,"ALASKA STATE",0
AK,99510,"ALASKA STATE",0
AK,99511,"ALASKA STATE",0
AK,99513,"ALASKA STATE",0
AK,99514,"ALASKA STATE",0
AK,99515,"ALASKA STATE",0
AK,99516,"ALASKA STATE",0
AK,99517,"ALASKA STATE",0
AK,99518,"ALASKA STATE",0
AK,99519,"ALASKA STATE",0
AK,99520,"ALASKA STATE",0
AK,99521,"ALASKA STATE",0
AK,99522,"ALASKA STATE",0
AK,99523,"ALASKA STATE",0
AK,99524,"ALASKA STATE",0
AK,99529,"ALASKA STATE",0
AK,99530,"ALASKA STATE",0
AK,99540,"ALASKA STATE",0
AK,99550,"ALASKA STATE",0
AK,99554,ALAKANUK,0.04
AK,99556,"KENAI PENINSULA BURROUGH",0.03
AK,99558,"ALASKA STATE",0
AK,99559,BETHEL,0.06
AK,99567,"ALASKA STATE",0
AK,99568,"KENAI PENINSULA BURROUGH",0.03
AK,99572,"KENAI PENINSULA BURROUGH",0.03
AK,99573,"ALASKA STATE",0
AK,99574,CORDOVA,0.06
AK,99576,DILLINGHAM,0.06
AK,99577,"ALASKA STATE",0
AK,99583,"FALSE PASS",0.03
AK,99586,"ALASKA STATE",0
AK,99587,"ALASKA STATE",0
AK,99588,"ALASKA STATE",0
AK,99590,"ALASKA STATE",0
AK,99599,"ALASKA STATE",0
AK,99602,"ALASKA STATE",0
AK,99603,HOMER,0.075
AK,99605,"KENAI PENINSULA BURROUGH",0.03
AK,99608,"ALASKA STATE",0
AK,99609,KASIGLUK,0.03
AK,99610,"KENAI PENINSULA BURROUGH",0.03
AK,99611,KENAI,0.06
AK,99612,"KING COVE",0.06
AK,99615,KODIAK,0.07
AK,99621,KWETHLUK,0.05
AK,99622,"ALASKA STATE",0
AK,99623,"ALASKA STATE",0
AK,99624,"LARSEN BAY",0.03
AK,99631,"KENAI PENINSULA BURROUGH",0.03
AK,99633,"ALASKA STATE",0
AK,99634,NAPAKIAK,0.04
AK,99635,KENAI,0.06
AK,99636,"ALASKA STATE",0
AK,99639,"KENAI PENINSULA BURROUGH",0.03
AK,99643,"OLD HARBOR",0.03
AK,99644,OUZINKIE,0.03
AK,99645,"ALASKA STATE",0
AK,99649,"ALASKA STATE",0
AK,99652,"ALASKA STATE",0
AK,99653,"ALASKA STATE",0
AK,99654,"ALASKA STATE",0
AK,99655,QUINHAGAK,0.03
AK,99659,"ALASKA STATE",0
AK,99663,SELDOVIA,0.075
AK,99664,"KENAI PENINSULA BURROUGH",0.03
AK,99665,"ALASKA STATE",0
AK,99666,EMMONAK,0.03
AK,99669,"KENAI PENINSULA BURROUGH",0.03
AK,99672,"KENAI PENINSULA BURROUGH",0.03
AK,99674,"ALASKA STATE",0
AK,99675,"ALASKA STATE",0
AK,99676,"ALASKA STATE",0
AK,99679,BETHEL,0.06
AK,99682,"KENAI PENINSULA BURROUGH",0.03
AK,99683,"ALASKA STATE",0
AK,99684,UNALAKLEET,0.05
AK,99685,UNALASKA,0.03
AK,99686,"ALASKA STATE",0
AK,99688,"ALASKA STATE",0
AK,99689,YAKUTAT,0.05
AK,99691,"ALASKA STATE",0
AK,99692,UNALASKA,0.03
AK,99694,HOUSTON,0.02
AK,99701,"ALASKA STATE",0
AK,99702,"ALASKA STATE",0
AK,99703,"ALASKA STATE",0
AK,99704,ANDERSON,0.06
AK,99705,"ALASKA STATE",0
AK,99706,"ALASKA STATE",0
AK,99707,"ALASKA STATE",0
AK,99708,"ALASKA STATE",0
AK,99709,"ALASKA STATE",0
AK,99712,"ALASKA STATE",0
AK,99714,"ALASKA STATE",0
AK,99720,"ALASKA STATE",0
AK,99721,"ALASKA STATE",0
AK,99722,"ALASKA STATE",0
AK,99724,"ALASKA STATE",0
AK,99726,"ALASKA STATE",0
AK,99729,"ALASKA STATE",0
AK,99730,"ALASKA STATE",0
AK,99731,"ALASKA STATE",0
AK,99732,"ALASKA STATE",0
AK,99733,"ALASKA STATE",0
AK,99737,"ALASKA STATE",0
AK,99740,"FORT YUKON",0.03
AK,99741,GALENA,0.03
AK,99743,"ALASKA STATE",0
AK,99744,ANDERSON,0.06
